case_no,status_dttm,status,code,description,violation_stno,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_city,contact_state,contact_zip,sam_id,latitude,longitude,location
V450723,2019-06-21 12:48:57,Closed,665,Acts 1956 as Amended,66,Edson,ST,Dorchester,MA,02124,17,"Stephen Siuda, Manager",East Boston,MA,02128,51356.0,42.28523854999006,-71.07720816553751,"(42.28523854999006, -71.07720816553751)"
V450556,2019-06-20 13:24:03,Closed,116.1,Unsafe and Dangerous,225,Foster,ST,Brighton,MA,02135,22,and Authorized Agent Jeanne Levesque,BRIGHTON,MA,02135,59629.0,42.34301965317055,-71.15830070537172,"(42.34301965317055, -71.15830070537172)"
V449785,2019-06-19 08:56:46,Closed,101.4.4,Maintenance,133,Nonantum,ST,Brighton,MA,02135,22,133 Nonantum Street,Brighton,MA,02135,102977.0,42.35034967212884,-71.17416072555565,"(42.35034967212884, -71.17416072555565)"
V445518,2019-06-18 08:57:48,Open,105.1,Failure to Obtain Permit,51,Bicknell,ST,Dorchester,MA,02121,14,4 Half Moon St,DORCHESTER,MA,02124,15321.0,42.29824955881205,-71.08281063635623,"(42.29824955881205, -71.08281063635623)"
V445519,2019-06-18 08:56:32,Open,107.4,Failed to comply w permit term,51,Bicknell,ST,Dorchester,MA,02121,14,4 Half Moon St,DORCHESTER,MA,02124,15321.0,42.29824955881205,-71.08281063635623,"(42.29824955881205, -71.08281063635623)"
V445520,2019-06-18 08:54:30,Open,110.5,Inspections,51,Bicknell,ST,Dorchester,MA,02121,14,4 Half Moon St,DORCHESTER,MA,02124,15321.0,42.29824955881205,-71.08281063635623,"(42.29824955881205, -71.08281063635623)"
V450160,2019-06-18 08:33:50,Closed,102.8,Maintenance,136,Prince,ST,Boston,MA,02113,03,136 PRINCE STREET,BOSTON,MA,02113,112830.0,42.366229518130176,-71.05738042691998,"(42.366229518130176, -71.05738042691998)"
V450107,2019-06-17 15:04:05,Closed,116.1,Unsafe and Dangerous,41,Temple,ST,Mattapan,MA,02126,17,41 TEMPLE STREET,DORCHESTER,MA,02126,134210.0,42.27337954597608,-71.07238066793184,"(42.273379545976084, -71.07238066793184)"
V450105,2019-06-17 14:55:39,Closed,116.1,Unsafe and Dangerous,41,Old Morton,ST,Mattapan,MA,02126,17,41 Old Moton St,Dorchester,MA,02124,105185.0,42.27331554573094,-71.071863666695,"(42.27331554573094, -71.071863666695)"
V450100,2019-06-17 14:50:39,Closed,116.1,Unsafe and Dangerous,37,Temple,ST,Mattapan,MA,02126,17,37 TEMPLE STREET,MATTAPAN,MA,02126,134208.0,42.27321954630827,-71.07230066831775,"(42.273219546308276, -71.07230066831775)"
V450099,2019-06-17 14:48:54,Closed,116.1,Unsafe and Dangerous,37,Old Morton,ST,Mattapan,MA,02126,17,171 Wilmington Ave,Dorchester,MA,02124,105182.0,42.27343154584506,-71.0719286665431,"(42.27343154584506, -71.0719286665431)"
V450096,2019-06-17 14:29:06,Closed,116.1,Unsafe and Dangerous,43,Old Morton,ST,Mattapan,MA,02126,17,43 OLD MORTON STREET,MATTAPAN,MA,02126,105186.0,42.273261546036345,-71.07184766762308,"(42.273261546036345, -71.07184766762308)"
V450097,2019-06-17 14:26:02,Closed,116.1,Unsafe and Dangerous,35,Old Morton,ST,Mattapan,MA,02126,17,257 Common St,Quincy,MA,02169,105180.0,42.2736095463712,-71.07200066658487,"(42.2736095463712, -71.07200066658487)"
V450094,2019-06-17 14:08:22,Closed,116.1,Unsafe and Dangerous,31,Old Morton,ST,Mattapan,MA,02126,17,17 TEMPLE ST,MATTAPAN,MA,02126,105178.0,42.27381954614464,-71.0720206666702,"(42.273819546144644, -71.0720206666702)"
V450093,2019-06-17 14:02:20,Closed,116.1,Unsafe and Dangerous,28,Old Morton,ST,Mattapan,MA,02126,17,28 OLD MORTON ST,MATTAPAN,MA,02126,105176.0,42.2735955452558,-71.07154966500146,"(42.2735955452558, -71.07154966500146)"
V450018,2019-06-17 10:16:14,Closed,105.1,Failure to Obtain Permit,195,Lexington,ST,East Boston,MA,02128,01,195 LEXINGTON ST,EAST BOSTON,MA,02128,85571.0,42.379410832590274,-71.03260829077246,"(42.379410832590274, -71.03260829077246)"
V449981,2019-06-17 09:40:01,Closed,105.1,Failure to Obtain Permit,133,Charles,ST,Boston,MA,02114,05,C/O JUDITH DOWLING,BOSTON,MA,02114,29104.0,42.36006953626853,-71.07057047084663,"(42.36006953626853, -71.07057047084663)"
V449983,2019-06-17 09:15:07,Closed,1001.3.2,Testing & Certification,370,Marlborough,ST,Boston,MA,02115,05,"Lynn O'Connell, Manager",DANVERS,MA,01923,91096.0,42.350369557674966,-71.08688052895648,"(42.350369557674966, -71.08688052895648)"
V449973,2019-06-17 09:04:42,Closed,1003.6,Means of Egress,370,Marlborough,ST,Boston,MA,02115,05,"Lynn O'Connell, Manager",DANVERS,MA,01923,91096.0,42.350369557674966,-71.08688052895648,"(42.350369557674966, -71.08688052895648)"
V449969,2019-06-17 08:59:10,Closed,105.1,Failure to Obtain Permit,5,Holborn,PK,Dorchester,MA,02121,12,5 HOLBORN PARK,DORCHESTER,MA,02121,166275.0,42.31494112614584,-71.08073990046287,"(42.31494112614584, -71.08073990046287)"
V449967,2019-06-17 08:46:58,Closed,116.1,Unsafe and Dangerous,43,Pearl,ST,Charlestown,MA,02129,02,43 PEARL STREET,CHARLESTOWN,MA,02129,108828.0,42.3790095251517,-71.06388041330072,"(42.3790095251517, -71.06388041330072)"
V436753,2019-06-13 14:16:59,Closed,105.1,Failure to Obtain Permit,81,Charles,ST,Boston,MA,02114,05,C/O STREET & COMPANY,BOSTON,MA,02114,29194.0,42.358452844169214,-71.07046576973343,"(42.358452844169214, -71.07046576973343)"
V449673,2019-06-13 09:50:05,Open,105.1,Failure to Obtain Permit,80,Messinger,ST,Mattapan,MA,02126,18,80 MESSINGTER ST,MATTAPAN,MA,02126,94741.0,42.2745095885243,-71.10172073258325,"(42.2745095885243, -71.10172073258325)"
V445431,2019-06-12 09:32:33,Closed,116.1,Unsafe and Dangerous,26,Hallowell,ST,Mattapan,MA,02126,18,999 N. W. Grand Blvd.,Oklahoma City,OK,73118,68287.0,42.271569586642485,-71.10108073717598,"(42.271569586642485, -71.10108073717598)"
V449484,2019-06-12 08:35:37,Closed,116.1,Unsafe and Dangerous,616,Columbus,AV,Roxbury,MA,02118,09,616 COLUMBUS AV,BOSTON,MA,02118,36053.0,42.33941955412843,-71.08284054501544,"(42.33941955412843, -71.08284054501544)"
V449417,2019-06-11 15:55:09,Closed,116.1,Unsafe and Dangerous,18,Ferrin,ST,Charlestown,MA,02129,02,117 E AVENIDA JUNIPERO,SAN CLEMENTE,CA,92672,57686.0,42.37570951613563,-71.05659040415632,"(42.37570951613563, -71.05659040415632)"
V449355,2019-06-11 11:37:17,Closed,105.4,Validity of Permit,16,Pasadena,RD,Dorchester,MA,02121,14,1582 DORCHESTER AVE,DORCHESTER,MA,02122,108428.0,42.30502955743498,-71.08266062070291,"(42.30502955743498, -71.08266062070291)"
V449217,2019-06-11 08:42:46,Closed,102.8,Maintenance,23,Cedar,ST,Boston,MA,02108,05,23 W CEDAR STREET,BOSTON,MA,02114,26907.0,42.35850953451484,-71.06961047218283,"(42.35850953451484, -71.06961047218283)"
V449269,2019-06-11 08:40:39,Closed,105.1,Failure to Obtain Permit,65,Thompson,ST,Hyde Park,MA,02136,18,65 THOMPSON  ST,HYDE PARK,MA,02136,135745.0,42.25142963903395,-71.13489085829332,"(42.25142963903395, -71.13489085829332)"
V449215,2019-06-10 16:02:49,Closed,116.1,Unsafe and Dangerous,25,Champney,ST,Brighton,MA,02135,22,25 Champney Street,Brighton,MA,02135,28601.0,42.35187966458896,-71.16849070865628,"(42.351879664588964, -71.16849070865628)"
V449214,2019-06-10 15:39:17,Closed,MGL Chapter 143 Sec 3L,Electrical Work w/out a Permit,110,Greenbrier,ST,Dorchester,MA,02124,17,819 EAST FIFTH STREET,SOUTH BOSTON,MA,02127,66446.0,42.29634954126058,-71.07022061246764,"(42.29634954126058, -71.07022061246764)"
V448569,2019-06-05 10:10:39,Closed,105.6,Suspension or Revocation,395,K,ST,South Boston,MA,02127,07,395 K STREET,SOUTH BOSTON,MA,02127,80648.0,42.33029949476663,-71.03744046219005,"(42.33029949476663, -71.03744046219005)"
V448557,2019-06-05 09:59:15,Open,116.1,Unsafe and Dangerous,85,Caledonian,AV,West Roxbury,MA,02132,20,85 CALEDONIAN AVE,WEST ROXBURY,MA,02132,24727.0,42.268969686837245,-71.1716009023558,"(42.268969686837245, -71.1716009023558)"
V448465,2019-06-04 15:36:41,Closed,102.8,Maintenance,120,Milk,ST,Boston,MA,02109,03,120 MILK  STREET SUITE 200,BOSTON,MA,02109,167693.0,42.3579632757789,-71.05425325705164,"(42.3579632757789, -71.05425325705164)"
V448368,2019-06-04 08:33:19,Closed,116.1,Unsafe and Dangerous,120,Milk,ST,Boston,MA,02109,03,"120 Milk St, Suite 200",Boston,MA,02109,167693.0,42.3579632757789,-71.05425325705164,"(42.3579632757789, -71.05425325705164)"
V448301,2019-06-03 13:16:24,Closed,107.4,Failed to comply w permit term,55,Hutchings,ST,Dorchester,MA,02121,12,"20 Warren St,",Roxbury,MA,02119,422124.0,42.31086825065591,-71.09003703451853,"(42.31086825065591, -71.09003703451853)"
V448210,2019-06-03 10:43:22,Closed,116.1,Unsafe and Dangerous,272,Border,ST,East Boston,MA,02128,01,290 BROADWAY,CHELSEA,MA,02150,162350.0,42.37718182246269,-71.04067303604096,"(42.37718182246269, -71.04067303604096)"
V433804,2019-06-03 10:04:09,Closed,105.1,Failure to Obtain Permit,35,Rockwood,ST,Jamaica Plain,MA,02130,19,35 ROCKWOOD ST,JAMAICA PLAIN,MA,02130,117989.0,42.31306961767154,-71.12780070380624,"(42.31306961767154, -71.12780070380624)"
V446306,2019-06-03 10:02:31,Closed,105.1,Failure to Obtain Permit,230,Hanover,ST,Boston,MA,02113,03,376 North St,Boston,MA,02113,69065.0,42.363265946517345,-71.05520640851934,"(42.363265946517345, -71.05520640851934)"
V448206,2019-06-03 10:01:29,Closed,116.1,Unsafe and Dangerous,161,River,ST,Mattapan,MA,02126,18,9 Clermont Street,Dorchester,MA,02124,116495.0,42.271859553801306,-71.0779406841134,"(42.271859553801306, -71.0779406841134)"
V443332,2019-06-03 10:01:00,Closed,105.1,Failure to Obtain Permit,2,Swift,TE,East Boston,MA,02128,01,2 SWIFT TE,EAST BOSTON,MA,02128,133144.0,42.38021947197043,-71.02178031568394,"(42.38021947197043, -71.02178031568394)"
V448201,2019-06-03 09:50:16,Closed,105.1,Failure to Obtain Permit,25,Pinckney,ST,Boston,MA,02114,05,Huanan Wang,Boston,MA,02114,110644.0,42.35892952981641,-71.06609046273738,"(42.35892952981641, -71.06609046273738)"
V440480,2019-06-03 09:46:09,Closed,105.1,Failure to Obtain Permit,37,Haydn,ST,Roslindale,MA,02131,20,20 Keystone St,West Roxbury,MA,02132,72106.0,42.27842964114581,-71.13960080879302,"(42.27842964114581, -71.13960080879302)"
V448187,2019-06-03 09:37:07,Closed,116.1,Unsafe and Dangerous,25,Pinckney,ST,Boston,MA,02114,05,Huanan Wang,Boston,MA,02114,110644.0,42.35892952981641,-71.06609046273738,"(42.35892952981641, -71.06609046273738)"
V447928,2019-05-31 11:22:37,Open,1001.3.2,Testing & Certification,13,Dwight,ST,Roxbury,MA,02118,03,13 DWIGHT ST,BOSTON,MA,02118,50325.0,42.344199533730034,-71.06813050035682,"(42.344199533730034, -71.06813050035682)"
V447914,2019-05-31 10:51:40,Open,1001.3.2,Testing & Certification,9,Dwight,ST,Roxbury,MA,02118,03,9 DWIGHT ST,BOSTON,MA,02118,50442.0,42.3441595335868,-71.06802050017096,"(42.344159533586804, -71.06802050017096)"
V447877,2019-05-31 09:17:01,Closed,1001.3.2,Testing & Certification,33,Dwight,ST,Roxbury,MA,02118,03,23 LINCOLN CIR.,SWAMPSCOTT,MA,01907,50370.0,42.34445953476553,-71.06880050049497,"(42.34445953476553, -71.06880050049497)"
V447866,2019-05-31 08:34:50,Closed,107.4,Failed to comply w permit term,45,Monmouth,ST,East Boston,MA,02128,01,45 MONMOUTH ST,EAST BOSTON,MA,02128,96398.0,42.379959491456006,-71.03723035139687,"(42.379959491456006, -71.03723035139687)"
V447828,2019-05-30 15:42:28,Closed,105.1,Failure to Obtain Permit,29,Brookledge,ST,Dorchester,MA,02121,12,119B Wrentham St,Dorchester,MA,02124,22013.0,42.309579567535096,-71.09029062784474,"(42.309579567535096, -71.09029062784474)"
V447824,2019-05-30 14:51:53,Closed,105.4,Validity of Permit,29,Brookledge,ST,Dorchester,MA,02121,12,119B Wrentham St,Dorchester,MA,02124,22013.0,42.309579567535096,-71.09029062784474,"(42.309579567535096, -71.09029062784474)"
V447769,2019-05-30 10:58:29,Closed,102.8,Maintenance,2173,Washington,ST,Roxbury,MA,02119,09,1495 Hancock Street,Quincy,MA,02169,144473.0,42.33137172047058,-71.08275540828522,"(42.33137172047058, -71.08275540828522)"
V440245,2019-05-29 10:36:54,Closed,105.1,Failure to Obtain Permit,118,Princeton,ST,East Boston,MA,02128,01,118 PRINCETON STREET UNIT B,EAST BOSTON,MA,02128,113148.0,42.37795948948632,-71.03532035157616,"(42.37795948948632, -71.03532035157616)"
V435393,2019-05-29 10:31:51,Closed,3307.1,Protection of Adj. Property,133,Nonantum,ST,Brighton,MA,02135,22,133 Nonantum Street,Brighton,MA,02135,102977.0,42.35034967212884,-71.17416072555565,"(42.35034967212884, -71.17416072555565)"
V439376,2019-05-29 10:22:03,Closed,105.1,Failure to Obtain Permit,6,Napier,PK,Dorchester,MA,02125,13,428 Savin Hill Avenue,Dorchester,MA,02125,385604.0,42.31144505746226,-71.05199456940689,"(42.31144505746226, -71.05199456940689)"
V440454,2019-05-29 10:15:40,Closed,105.1,Failure to Obtain Permit,4,Napier,PK,Dorchester,MA,02125,13,428 Savin Hill Avenue,Dorchester,MA,02125,167982.0,42.31145354655612,-71.05206687584037,"(42.31145354655612, -71.05206687584037)"
V439400,2019-05-29 10:05:07,Closed,105.1,Failure to Obtain Permit,8,Napier,PK,Dorchester,MA,02125,13,8 NAPIER PARK #9,DORCHESTER,MA,02125,385605.0,42.3114556714828,-71.05192172260632,"(42.3114556714828, -71.05192172260632)"
V276816,2019-05-29 10:00:01,Closed,105.1,Failure to Obtain Permit,83,Harvard,AV,Allston,MA,02134,21,43 Fairfax Road,Needham,MA,02492,155896.0,42.353503614779896,-71.13237883244767,"(42.353503614779896, -71.13237883244767)"
V447525,2019-05-29 09:44:10,Closed,105.1,Failure to Obtain Permit,132,Stanwood,ST,Dorchester,MA,02121,14,132 STANWOOD STREET,DORCHESTER,MA,02121,130262.0,42.30800955001695,-71.0778006030772,"(42.30800955001695, -71.0778006030772)"
V446834,2019-05-22 11:47:02,Closed,105.1,Failure to Obtain Permit,424,Bowdoin,ST,Dorchester,MA,02122,15,40 Eastern Avenue,Malden,MA,02148,17757.0,42.310489529893054,-71.0627705628518,"(42.310489529893054, -71.0627705628518)"
V446828,2019-05-22 11:35:29,Closed,116.2,Unsafe and Dangerous,7,Cook,ST,Charlestown,MA,02129,02,3 Hood Road,DERRY,NH,03038,42343.0,42.38003952540403,-71.06418041186323,"(42.38003952540403, -71.06418041186323)"
V415968,2019-05-22 11:27:51,Closed,105.1,Failure to Obtain Permit,106,Clare,AV,Hyde Park,MA,02136,18,1511 Server Drive,Colorado Spring,CO,80910,32907.0,42.27444961187968,-71.11863077037579,"(42.27444961187968, -71.11863077037579)"
V446815,2019-05-22 10:55:36,Closed,102.8,Maintenance,47,Cedar,ST,Boston,MA,02114,05,330 Beacon Street,Boston,MA,02116,26938.0,42.35940653527869,-71.06998547142139,"(42.35940653527869, -71.06998547142139)"
V446778,2019-05-22 08:58:26,Closed,107.4,Failed to comply w permit term,52R,River,ST,Mattapan,MA,02126,17,54 Minot St,Dorchester,MA,02125,420770.0,42.271233570964704,-71.07263887117062,"(42.271233570964704, -71.07263887117062)"
V445842,2019-05-21 09:35:59,Closed,102.8,Maintenance,883,Harrison,AV,Roxbury,MA,02118,08,883 HARRISON AV #4,BOSTON,MA,02119,70088.0,42.334179545861865,-71.07646054191284,"(42.334179545861865, -71.07646054191284)"
V446608,2019-05-21 09:03:27,Closed,105.1,Failure to Obtain Permit,443,Poplar,ST,Roslindale,MA,02131,18,177 HUNTINGTON AVE STE 1700,BOSTON,MA,02115,111884.0,42.27528962369864,-71.12717078671014,"(42.27528962369864, -71.12717078671014)"
V446597,2019-05-21 08:45:16,Closed,105.1,Failure to Obtain Permit,94,Montebello,RD,Jamaica Plain,MA,02130,11,C/O SHIRASB LLC,BRAINTREE,MA,02184,96601.0,42.311719578633415,-71.09910064262213,"(42.311719578633415, -71.09910064262213)"
V443934,2019-05-20 15:02:54,Closed,107.4,Failed to comply w permit term,30,Florida,ST,Dorchester,MA,02124,16,16 GRANT ST,DORCHESTER,MA,02124,58949.0,42.29131952724633,-71.05965059916149,"(42.29131952724633, -71.05965059916149)"
V408755,2019-05-20 14:58:39,Closed,105.1,Failure to Obtain Permit,131,Boston,ST,Dorchester,MA,02125,07,123 BOSTON ST,DORCHESTER,MA,02125,17086.0,42.32520952467145,-71.05942052315596,"(42.32520952467145, -71.05942052315596)"
V438625,2019-05-20 14:56:41,Open,111.1,Certificate of Occupancy,128,South,ST,Jamaica Plain,MA,02130,11,128-136 SOUTH ST,JAMAICA PLAIN,MA,02130,128687.0,42.30567960123667,-71.11455069074215,"(42.305679601236676, -71.11455069074215)"
V408748,2019-05-20 14:55:03,Closed,116.1,Unsafe and Dangerous,131,Boston,ST,Dorchester,MA,02125,07,123 BOSTON ST,DORCHESTER,MA,02125,17086.0,42.32520952467145,-71.05942052315596,"(42.32520952467145, -71.05942052315596)"
V446464,2019-05-20 11:13:56,Closed,105.1,Failure to Obtain Permit,135,Athens,ST,South Boston,MA,02127,06,C/O TOMAS J MOYLAN,BOSTON,MA,02109,5723.0,42.340819291309984,-71.05297634700946,"(42.340819291309984, -71.05297634700946)"
V446442,2019-05-20 10:22:28,Closed,104.6,Right of Entry,108,Minden,ST,Jamaica Plain,MA,02130,10,108 MINDEN ST #,JAMAICA PLAIN,MA,02130,167738.0,42.32499326034714,-71.10557288841412,"(42.32499326034714, -71.10557288841412)"
V446281,2019-05-17 09:48:16,Closed,105.1,Failure to Obtain Permit,9,Woodward Park,ST,Dorchester,MA,02125,13,9 WOODWARD PARK ST,DORCHESTER,MA,02125,152109.0,42.31867954288577,-71.07244056781578,"(42.31867954288577, -71.07244056781578)"
V445799,2019-05-14 13:22:16,Closed,102.8,Maintenance,560,Sixth,ST,South Boston,MA,02127,06,560 EAST SIXTH STREET,SOUTH BOSTON,MA,02127,127641.0,42.3332394951823,-71.03827045775786,"(42.3332394951823, -71.03827045775786)"
V445862,2019-05-14 10:15:24,Closed,105.1,Failure to Obtain Permit,24,Lyndeboro,ST,Charlestown,MA,02129,02,24 LYNDEBORO,CHARLESTOWN,MA,02129,87858.0,42.37980597755093,-71.07041439876981,"(42.37980597755093, -71.07041439876981)"
V445855,2019-05-14 10:06:27,Closed,4-3,Building or Use of Premise req,24,Rosaria,ST,Dorchester,MA,02122,16,15 SUZANNE LANE,MANSFIELD,MA,02048,118250.0,42.28667951454028,-71.05013058805619,"(42.28667951454028, -71.05013058805619)"
V445790,2019-05-14 09:48:21,Closed,107.4,Failed to comply w permit term,54,Pinckney,ST,Boston,MA,02108,05,84 MOUNT VERNON STREET,BOSTON,MA,02108,110705.0,42.3587495320837,-71.0673804657919,"(42.3587495320837, -71.0673804657919)"
V445831,2019-05-14 09:27:39,Closed,105.1,Failure to Obtain Permit,597,Saratoga,ST,East Boston,MA,02128,01,114 PARK ST,DORCHESTER,MA,02122,122713.0,42.38151947420981,-71.02278031490248,"(42.38151947420981, -71.02278031490248)"
V445837,2019-05-14 09:24:55,Closed,116.1,Unsafe and Dangerous,460,Washington,ST,Brighton,MA,02135,22,"100 Galen St, Suite 301",WATERTOWN,MA,02472,143554.0,42.34872865254271,-71.15863569438453,"(42.34872865254271, -71.15863569438453)"
V445822,2019-05-14 09:02:26,Closed,116.1,Unsafe and Dangerous,8,Saint Margaret,ST,Dorchester,MA,02125,07,1451 TREMONT STREET,BOSTON,MA,02120,121342.0,42.32239952643139,-71.06051053230807,"(42.32239952643139, -71.06051053230807)"
V445649,2019-05-13 09:42:24,Closed,105.1,Failure to Obtain Permit,762,Eighth,ST,South Boston,MA,02127,07,762 EAST EIGHTH STREET,SOUTH BOSTON,MA,02127,52438.0,42.33167448481599,-71.03084944536032,"(42.33167448481599, -71.03084944536032)"
V445440,2019-05-13 08:44:40,Closed,107.4,Failed to comply w permit term,114,Hamilton,ST,Dorchester,MA,02125,15,33 W MILTON STREET,HYDE PARK,MA,02136,68412.0,42.30724953702309,-71.06805058303614,"(42.30724953702309, -71.06805058303614)"
V445512,2019-05-10 09:45:07,Closed,105.1,Failure to Obtain Permit,169,Newbury,ST,Boston,MA,02116,05,169 NEWBURY,BOSTON,MA,02116,101375.0,42.350759547479896,-71.07904051002218,"(42.350759547479896, -71.07904051002218)"
V445453,2019-05-09 14:32:44,Closed,107.4,Failed to comply w permit term,62,Richfield,ST,Dorchester,MA,02125,15,62 RICHFIELD ST,DORCHESTER,MA,02125,115687.0,42.306269540478766,-71.0700205896232,"(42.306269540478766, -71.0700205896232)"
V445452,2019-05-09 14:24:06,Closed,105.1,Failure to Obtain Permit,62,Richfield,ST,Dorchester,MA,02125,15,62 RICHFIELD ST,DORCHESTER,MA,02125,115687.0,42.306269540478766,-71.0700205896232,"(42.306269540478766, -71.0700205896232)"
V445447,2019-05-09 13:37:38,Closed,116.1,Unsafe and Dangerous,206,Second,ST,South Boston,MA,02127,06,181 Dudley Road,Newton,MA,02459,124585.0,42.341551511184385,-71.05070546709048,"(42.341551511184385, -71.05070546709048)"
V445415,2019-05-09 11:48:52,Closed,102.8,Maintenance,198,Arborway,,Jamaica Plain,MA,02130,11,111 CRAIG STREET,MILTON,MA,02186,4351.0,42.30675960642171,-71.11891069857482,"(42.30675960642171, -71.11891069857482)"
V445355,2019-05-09 09:25:48,Closed,116.1,Unsafe and Dangerous,883,Harrison,AV,Roxbury,MA,02118,08,883 Harrison Ave,Boston,MA,02119,70088.0,42.334179545861865,-71.07646054191284,"(42.334179545861865, -71.07646054191284)"
V442179,2019-05-08 12:04:52,Closed,116.1,Unsafe and Dangerous,21,Montrose,ST,Roxbury,MA,02119,12,21 MONTROSE ST,ROXBURY,MA,02119,96759.0,42.32362955294643,-71.08060057488208,"(42.323629552946436, -71.08060057488208)"
V431989,2019-05-08 11:59:55,Closed,107.4,Failed to comply w permit term,47,Clarence,ST,Roxbury,MA,02119,08,47 CLARENCE STREET,ROXBURY,MA,02119,33125.0,42.32474954140673,-71.07245055345805,"(42.32474954140673, -71.07245055345805)"
V445259,2019-05-08 11:13:14,Closed,105.1,Failure to Obtain Permit,403,Shawmut,AV,Roxbury,MA,02118,09,405 SHAWMUT AVENUE,BOSTON,MA,02118,126234.0,42.34057111628045,-71.07340330939502,"(42.34057111628045, -71.07340330939502)"
V445251,2019-05-08 10:41:26,Closed,116.1,Unsafe and Dangerous,403,Shawmut,AV,Roxbury,MA,02118,09,405 Shawmut Avenue,Boston,MA,02118,126234.0,42.34057111628045,-71.07340330939502,"(42.34057111628045, -71.07340330939502)"
V445238,2019-05-08 10:11:13,Closed,116.2,Unsafe and Dangerous,113,Salem,ST,Boston,MA,02113,03,44 NORTH SHORE RD,DERRY,NH,03038,121698.0,42.36433951539339,-71.05540042646165,"(42.36433951539339, -71.05540042646165)"
V445227,2019-05-08 09:44:06,Closed,105.1,Failure to Obtain Permit,113,Salem,ST,Boston,MA,02113,03,C/O ARTHUR CARAS MANAGER,DERRY,NH,03038,121698.0,42.36433951539339,-71.05540042646165,"(42.36433951539339, -71.05540042646165)"
V445215,2019-05-08 09:09:10,Closed,102.8,Maintenance,5,Knapp,ST,Boston,MA,02111,03,C/O HELEN HOANG,WESTON,MA,02493,82295.0,42.351219525941566,-71.06198047127329,"(42.351219525941566, -71.06198047127329)"
V445149,2019-05-07 13:39:40,Closed,907.8,Fire Protection Systems,89,Cambridge,ST,Charlestown,MA,02129,02,89 CAMBRIDGE ST,CHARLESTOWN,MA,02129,25209.0,42.38277954332205,-71.0782904377552,"(42.382779543322044, -71.0782904377552)"
V445146,2019-05-07 13:29:57,Closed,105.1,Failure to Obtain Permit,89,Cambridge,ST,Charlestown,MA,02129,02,89 CAMBRIDGE ST,CHARLESTOWN,MA,02129,25209.0,42.38277954332205,-71.0782904377552,"(42.382779543322044, -71.0782904377552)"
V445053,2019-05-07 10:51:28,Closed,102.8,Maintenance,40,Harrison,AV,Boston,MA,02111,03,C/O BEACH STREET MGT,BOSTON,MA,02111,340723.0,42.35159938116215,-71.0609966937615,"(42.35159938116215, -71.0609966937615)"
V445022,2019-05-07 08:43:34,Closed,116.1,Unsafe and Dangerous,460,Seventh,ST,South Boston,MA,02127,07,460 EAST SEVENTH STREET,SOUTH BOSTON,MA,02127,125299.0,42.33228950107631,-71.04267047035138,"(42.33228950107631, -71.04267047035138)"
V444981,2019-05-06 14:30:08,Closed,103.2,Unsafe Maintanence,114,Fenway,,Boston,MA,02115,04,114 Fenway,boston,MA,02115,57413.0,42.34130956552925,-71.09161055993674,"(42.34130956552925, -71.09161055993674)"
V444900,2019-05-06 10:43:51,Closed,105.1,Failure to Obtain Permit,460,Seventh,ST,South Boston,MA,02127,07,460 EAST SEVENTH ST,SOUTH BOSTON,MA,02127,125299.0,42.33228950107631,-71.04267047035138,"(42.33228950107631, -71.04267047035138)"
V444742,2019-05-03 09:41:59,Closed,105.1,Failure to Obtain Permit,86,Trenton,ST,East Boston,MA,02128,01,184 COTTAGE ST #1-R,EAST BOSTON,MA,02128,138405.0,42.37910749031982,-71.0363153505964,"(42.37910749031982, -71.0363153505964)"
V444734,2019-05-03 08:48:24,Closed,116.1,Unsafe and Dangerous,35,Ormond,ST,Mattapan,MA,02126,14,"35 ORMOND, Unit 2",MATTAPAN,MA,02126,105999.0,42.28104957455489,-71.09338069857183,"(42.28104957455489, -71.09338069857183)"
V444556,2019-05-02 13:31:36,Closed,116.1,Unsafe and Dangerous,220,Marlborough,ST,Boston,MA,02116,05,"581 Boylston St, Suite 604",Boston,MA,02116,90636.0,42.35201494869176,-71.08102537044745,"(42.35201494869176, -71.08102537044745)"
V444571,2019-05-02 09:51:37,Closed,116.2,Unsafe and Dangerous,400,Commonwealth,AV,Boston,MA,02115,05,416 COMMONWEALTH AV,BOSTON,MA,02215,40657.0,42.34860956337864,-71.09072054092178,"(42.34860956337864, -71.09072054092178)"
V444564,2019-05-02 09:04:12,Closed,116.1,Unsafe and Dangerous,536,Centre,ST,Jamaica Plain,MA,02130,19,536 CENTRE ST,JAMAICA PLAIN,MA,02130,28098.0,42.3168595977562,-71.11327066377414,"(42.3168595977562, -71.11327066377414)"
V440124,2019-05-01 13:48:22,Closed,103,Maintenance,29,Edinboro,ST,Boston,MA,02111,03,85 VALENTINE ST,WEST NEWTON,MA,02465,164916.0,42.35152862350451,-71.05983340009682,"(42.35152862350451, -71.05983340009682)"
V440108,2019-05-01 13:46:39,Closed,116.1,Unsafe and Dangerous,29,Edinboro,ST,Boston,MA,02111,03,85 VALENTINE ST,WEST NEWTON,MA,02465,164916.0,42.35152862350451,-71.05983340009682,"(42.35152862350451, -71.05983340009682)"
V440176,2019-05-01 13:44:28,Closed,903.5,Fire Protection Systems,25,Edinboro,ST,Boston,MA,02111,03,161 WEBSTER ST,NEEDHAM,MA,02494,51253.0,42.35167952242063,-71.0598604652875,"(42.35167952242063, -71.0598604652875)"
